english_words,french_words,frequency
ghost,fantôme,49
given,donné,197
giving,donnant,39
glass,verre,82
glorious,glorieux,43
glory,gloire,87
going,Aller,104
golden,d'or,87
goodness,la bonté,55
grace,la grâce,384
grant,subvention,139
grave,la tombe,234
great,génial,1050
green,vert,93
greet,saluer,91
grief,douleur,268
grieve,pleurer,70
gross,brut,94
ground,sol,181
grown,grandi,66
guard,garde,165
guess,devine,52
guilty,coupable,69
habit,habitude,86
hands,mains,342
hanging,pendaison,57
hangs,bloque,34
happiness,bonheur,57
happy,heureux,225
haste,hâte,209
hateful,odieux,39
having,ayant,124
hazard,danger,45
heads,têtes,130
health,santé,107
heard,entendu,354
heart,cœur,1337
heaven,paradis,759
heavy,lourd,167
heels,talons,83
hence,Par conséquent,510
henceforth,désormais,26
hereafter,"ci-après, par la suite",46
herself,se,91
highness,altesse,1
holds,tient,84
hollow,creux,53
honest,honnête,391
horse,cheval,331
hostess,hôtesse,29
hours,heures,139
house,maison,640
humble,humble,94
humour,humour,124
hundred,cent,116
husband,mari,367
ignorant,ignorant,48
image,image,73
includes,comprend,2
indeed,En effet,358
infinite,infini,43
innocent,innocent,54
instant,instant,84
intend,avoir l'intention,87
intent,intention,73
issue,problème,128
itself,lui-même,236
jealous,jaloux,95
jewel,bijou,87
judge,juge,111
judgment,jugement,115
julia,Julia,1
justice,Justice,164
keeps,garde,69
kindness,la gentillesse,78
kingdom,Royaume,124
kings,rois,139
knave,fripon,237
kneel,s'agenouiller,78
knees,les genoux,51
knife,couteau,56
knight,Chevalier,170
knock,frappe,99
knowing,connaissance,38
knowledge,connaissance,97
known,connu,230
knows,sait,205
labour,la main d'oeuvre,123
ladies,Dames,107
ladyship,Madame,44
lands,terres,67
large,grand,101
laugh,rire,239
lawful,légitime,76
learn,apprendre,215
learned,appris,55
least,moins,101
leave,laisser,700
leisure,loisir,68
letter,lettre,377
liberty,liberté,71
library,bibliothèque,3
liege,Liege,144
lieutenant,lieutenant,35
light,lumière,593
limbs,membres,49
little,peu,477
lives,vies,196
living,vivant,122
longer,plus long,106
looks,regards,204
loose,ample,60
lords,seigneurs,457
lordship,seigneurie,128
lovely,charmant,53
lovers,les amoureux,55
loves,aime,221
loving,aimant,121
machine,machine,3
madness,la démence,67
maiden,jeune fille,76
maids,servantes,46
maintain,maintenir,52
majesty,majesté,69
makes,fait du,315
making,fabrication,58
malice,malice,70
manner,manière,175
march,Mars,113
marriage,mariage,120
marry,marier,192
master,Maître,628
match,rencontre,116
matter,matière,381
meaning,sens,59
means,veux dire,261
meant,signifiait,65
measure,mesure,99
meeting,réunion,53
memory,Mémoire,58
merchant,marchande,41
mercy,pitié,176
merit,mérite,79
merry,joyeux,165
messenger,Messager,76
midnight,minuit,41
might,pourrait,628
mighty,puissant,114
minds,esprits,55
minister,ministre,62
mirth,gaieté,52
mischief,sottises,49
misery,misère,37
mistake,erreur,47
mistress,maîtresse,270
modest,modeste,97
money,argent,186
monster,monstre,89
month,mois,97
morning,Matin,132
morrow,demain,353
mortal,mortel,144
mother,mère,441
motion,mouvement,112
mouth,bouche,200
murder,meurtre,117
murther,aller plus loin,67
music,la musique,197
myself,moi même,512
naked,nu,54
names,des noms,50
native,originaire de,45
natural,Naturel,104
nature,la nature,358
needs,Besoins,142
neighbour,voisine,83
neither,ni,155
never,jamais,910
niece,nièce,62
night,nuit,1203
noble,noble,712
noise,bruit,114
nothing,rien,545
nought,néant,54
number,nombre,100
nurse,infirmière,82
oaths,serments,86
obedience,obéissance,56
object,objet,54
occasion,occasion,89
offence,infraction,119
offend,offenser,144
offer,offre,166
office,Bureau,244
often,souvent,136
opinion,opinion,94
order,ordre,141
other,autre,2566
others,autres,280
ourselves,nous-mêmes,181
outward,vers l'extérieur,57
pains,des douleurs,92
painted,peint,52
painter,peintre,10
palace,palais,158
paper,papier,121
pardon,pardon,259
paris,Paris,32
parted,séparé,53
particular,particulier,69
partly,partiellement,33
parts,les pièces,108
party,fête,51
passage,passage,44
passion,la passion,145
patience,la patience,178
patient,patient,127
peace,paix,412
people,gens,224
perceive,apercevoir,102
perfect,parfait,114
perhaps,peut-être,32
peril,péril,65
permission,autorisation,4
person,la personne,191
personal,personnel,16
picture,image,51
piece,pièce,141
pistol,pistolet,5
place,endroit,516
plague,peste,103
plain,plaine,228
plead,plaider,52
please,S'il vous plaît,381
pleasure,plaisir,257
pluck,cueillir,136
point,point,244
poison,poison,119
policy,politique,45
porter,porter,24
possible,possible,97
pound,livre,112
power,Puissance,375
practice,entraine toi,56
praise,louange,232
prayers,prières,85
precious,précieux,77
prepare,préparer,63
presence,présence,104
present,présent,410
pretty,jolie,109
pride,fierté,107
priest,prêtre,78
prince,prince,285
prison,prison,256
private,privé,74
prize,prix,53
proceed,procéder,105
proclaim,proclamer,65
profit,profit,63
project,projet,15
prologue,prologue,22
promise,promettre,154
proof,preuve,116
proper,correct,95
protector,protecteur,5
protest,manifestation,66
proud,fier,229
prove,prouver,351
provided,à condition de,33
public,Publique,67
purpose,objectif,256
purse,bourse,106
quality,qualité,58
quarrel,querelle,122
queen,reine,199
question,question,169
quick,rapide,210
quiet,silencieux,106
quite,assez,103
quoth,quoth,62
raise,élever,293
ransom,une rançon,64
rascal,coquin,88
rather,plutôt,291
readable,lisible,2
ready,prêt,276
realm,domaine,60
reason,raison,489
receive,recevoir,124
regard,qui concerne,60
reign,règne,273
remain,rester,112
remedy,remède,59
remember,rappelles toi,159
render,rendre,55
repair,réparation,42
repent,se repentir,68
report,rapport,178
reputation,réputation,45
request,demande,85
respect,le respect,140
return,revenir,252
revenge,vengeance,163
reverence,révérence,44
revolt,révolte,61
right,droite,627
rivers,rivières,12
rogue,coquin,104
rotten,pourri,38
rough,rugueux,627
round,rond,278
royal,Royal,246
sacred,sacré,46
safety,sécurité,74
saint,Saint,43
satisfied,satisfait,54
saying,en disant,57
scarce,rare,83
scene,scène,42
scorn,mépris,139
search,chercher,53
season,saison,67
second,seconde,113
secret,secret,107
seeing,voyant,45
senator,sénateur,34
sense,sens,182
sentence,phrase,45
servant,serviteur,207
serve,servir,457
service,un service,262
seven,Sept,82
several,nombreuses,105
shadow,ombre,104
shake,secouer,111
shall,doit,3179
shame,la honte,352
shape,forme,129
sharp,tranchant,85
shepherd,berger,81
shine,éclat,99
shore,rive,77
short,court,164
shortly,prochainement,44
should,devrait,1563
shows,montre,95
sickness,maladie,53
sight,vue,238
silence,silence,63
silver,argent,68
simple,Facile,84
since,depuis,299
single,Célibataire,63
sirrah,sirrah,77
sister,sœur,223
skill,compétence,61
slain,tué,125
slander,calomnie,86
slave,esclave,170
sleep,sommeil,401
slender,mince,12
small,petit,107
smell,odeur,66
smile,sourire,116
soldier,soldat,317
solemn,solennel,66
something,quelque chose,152
sometime,parfois,107
sooner,plus tôt,60
soothsayer,devin,3
sorrow,chagrin,236
sorry,Pardon,88
sought,recherché,38
souls,âmes,110
sound,du son,282
sovereign,souverain,178
spare,de rechange,55
speak,parler,1201
speaks,parle,126
special,spécial,64
speech,discours,162
speed,la vitesse,158
spend,dépenser,77
spirit,esprit,387
spite,dépit,131
spoke,parlait,207
sport,sport,164
spring,printemps,84
staff,Personnel,143
stain,tache,110
stand,supporter,798
stars,étoiles,68
state,Etat,400
steal,voler,118
steel,acier,77
steward,intendant,25
still,encore,523
stomach,estomac,61
stone,calcul,145
stood,se tenait,96
store,boutique,72
storm,orage,73
story,récit,92
straight,tout droit,153
strange,étrange,340
street,rue,129
strength,force,138
strike,la grève,147
stroke,accident vasculaire cérébral,64
strong,fort,272
struck,frappé,81
study,étude,63
stuff,des trucs,67
subject,matière,169
substance,substance,43
success,Succès,81
sudden,soudain,126
suddenly,tout à coup,48
suffer,souffrir,157
summer,été,99
supper,souper,63
surely,sûrement,37
suspect,suspect,49
swear,jurer,328
sweat,transpiration,50
sweet,sucré,775
swift,rapide,94
sword,épée,421
swore,juré,59
sworn,juré,196
table,table,245
tailor,tailleur,42
taken,pris,100
tarry,goudronneux,40
taste,goût,93
taught,enseigné,53
teach,enseigner,120
tears,larmes,274
tedious,fastidieux,50
teeth,les dents,55
tells,raconte,43
tempest,tempête,48
tender,soumissionner,174
terms,termes,74
thank,remercier,454
their,leur,1964
themselves,se,158
there,Là,2070
therefore,par conséquent,363
therein,la bride,47
these,celles-ci,1101
thief,voleur,68
thing,chose,1686
think,pense,1273
third,troisième,76
those,ceux,467
though,bien que,1148
thought,pensée,669
thrive,prospérer,61
throat,gorge,78
throne,trône,75
through,par,248
throw,jeter,183
thrust,poussée,58
thunder,tonnerre,74
times,fois,302
title,Titre,120
together,ensemble,265
tongue,langue,492
tonight,ce soir,47
touch,toucher,204
toward,vers,156
tower,la tour,18
train,train,197
traitor,traitre,197
tread,bande de roulement,55
treason,trahison,108
treasure,Trésor,58
trial,procès,65
tribunes,tribunes,27
trick,tour,94
triumph,triomphe,75
trouble,difficulté,126
truly,vraiment,124
trumpet,trompette,178
trust,confiance,224
truth,vérité,344
turns,se tourne,65
twice,deux fois,62
tyrant,tyran,67
uncle,oncle,234
under,sous,586
understand,comprendre,122
undertake,entreprendre,51
undone,défait,52
unhappy,malheureux,34
unknown,inconnue,41
unless,sauf si,66
until,jusqu'à,43
unworthy,indigne,31
utter,prononcer,117
valiant,vaillant,154
valour,valeur,99
vantage,avantage,133
vengeance,vengeance,49
version,version,8
victory,la victoire,46
villain,scélérat,327
viola,alto,16
violent,violent,47
virtue,vertu,228
visit,visite,92
voice,voix,212
walls,des murs,84
warlike,guerrier,57
warrant,mandat,189
waste,déchets,73
watch,regarder,175
water,eau,195
wealth,richesse,113
weapons,armes,40
weary,se lasser,82
weeds,mauvaises herbes,42
weeping,larmes,58
weight,poids,63
welcome,Bienvenue,287
wench,jeune fille,84
whence,d'où,59
where,où,1005
wherein,où,67
whether,qu'il s'agisse,56
which,lequel,1418
while,tandis que,316
whither,où,39
whole,entier,160
whore,putain,101
whose,dont,383
widow,veuve,89
willing,prêt,89
window,la fenêtre,67
wings,ailes,56
winter,hiver,78
wisdom,sagesse,100
witch,sorcière,79
withal,avec,147
within,dans,340
without,sans pour autant,287
witness,témoin,121
wives,épouses,61
woman,femme,493
wonder,merveille,160
works,travaux,24
world,monde,698
worse,pire,168
worship,culte,132
worth,vaut,541
would,aurait,2163
wound,blessure,201
wounded,blessés,40
wrath,colère,71
wretch,misérable,147
write,écrire,138
written,écrit,34
wrong,faux,375
wrought,forgé,42
yield,rendement,183
yonder,là-bas,59
young,Jeune,462
yours,le tiens,589
yourself,toi même,268
youth,jeunesse,310
